from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
eccv,colt,1994,1993,1,113
eccv,colt,2000,1991,1,41
eccv,colt,2000,1994,1,82
eccv,colt,2002,1991,1,59
eccv,colt,2002,1992,1,77
eccv,colt,2002,1998,2,243
eccv,colt,2004,2003,1,248
eccv,colt,2006,1999,1,124
eccv,colt,2008,1998,2,105
eccv,colt,2010,1998,1,88
eccv,colt,2010,1999,1,83
eccv,colt,2010,2003,2,192
eccv,colt,2012,1992,1,28
eccv,colt,2012,1998,1,87
eccv,colt,2012,2001,1,126
eccv,colt,2012,2003,1,187
eccv,colt,2014,1992,1,33
eccv,colt,2014,1998,1,69
eccv,colt,2014,2001,1,123
eccv,colt,2014,2003,1,168
eccv,colt,2014,2008,1,449
